,actual_load,pca1,pca2,mon,tue,wed,thur,fri,sat,sun
2015-01-01 00:00:00,25385.0,0.0009318021430783439,0.05190244799557514,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-01 01:00:00,24382.0,0.0009315083976794369,0.052050161689576324,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-01 02:00:00,22734.0,0.000933466194067597,0.03467031778005253,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-01 03:00:00,21286.0,0.0009331724531082602,0.0346029521755421,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-01 04:00:00,20264.0,0.0009331724450025933,0.034995662182871035,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-01 05:00:00,19905.0,0.0009382105305195228,0.024592510634694253,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-01 06:00:00,20010.0,0.0009382105255783786,0.02483190324521045,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-01 07:00:00,20377.0,0.0009385042265300523,0.02683759219413223,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-01 08:00:00,20094.0,0.0009467466147171076,0.08066547651288192,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-01 09:00:00,20637.0,0.0009467465854724295,0.08208234673093562,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-01 10:00:00,22250.0,0.0009467464371806524,0.08926690868142334,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-01 11:00:00,23547.0,0.0009480007470344166,0.32961141298198504,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-01 12:00:00,24133.0,0.0009480006384253053,0.3348733965235626,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015-01-01 13:00:00,24713.0,0.0009480006814260064,0.33279006319305615,0.0,0.0,0.0,1.0,0.0,0.0,0.0
