date,t-0 h_0,t-0 h_1,t-0 h_2,t-0 h_3,t-0 h_4,t-0 h_5,t-0 h_6,t-0 h_7,t-0 h_8,t-0 h_9,t-0 h_10,t-0 h_11,t-0 h_12,t-0 h_13,t-0 h_14,t-0 h_15,t-0 h_16,t-0 h_17,t-0 h_18,t-0 h_19,t-0 h_20,t-0 h_21,t-0 h_22,t-0 h_23,t-1 h_0,t-1 h_1,t-1 h_2,t-1 h_3,t-1 h_4,t-1 h_5,t-1 h_6,t-1 h_7,t-1 h_8,t-1 h_9,t-1 h_10,t-1 h_11,t-1 h_12,t-1 h_13,t-1 h_14,t-1 h_15,t-1 h_16,t-1 h_17,t-1 h_18,t-1 h_19,t-1 h_20,t-1 h_21,t-1 h_22,t-1 h_23,t-2 h_0,t-2 h_1,t-2 h_2,t-2 h_3,t-2 h_4,t-2 h_5,t-2 h_6,t-2 h_7,t-2 h_8,t-2 h_9,t-2 h_10,t-2 h_11,t-2 h_12,t-2 h_13,t-2 h_14,t-2 h_15,t-2 h_16,t-2 h_17,t-2 h_18,t-2 h_19,t-2 h_20,t-2 h_21,t-2 h_22,t-2 h_23,t-3 h_0,t-3 h_1,t-3 h_2,t-3 h_3,t-3 h_4,t-3 h_5,t-3 h_6,t-3 h_7,t-3 h_8,t-3 h_9,t-3 h_10,t-3 h_11,t-3 h_12,t-3 h_13,t-3 h_14,t-3 h_15,t-3 h_16,t-3 h_17,t-3 h_18,t-3 h_19,t-3 h_20,t-3 h_21,t-3 h_22,t-3 h_23,t-4 h_0,t-4 h_1,t-4 h_2,t-4 h_3,t-4 h_4,t-4 h_5,t-4 h_6,t-4 h_7,t-4 h_8,t-4 h_9,t-4 h_10,t-4 h_11,t-4 h_12,t-4 h_13,t-4 h_14,t-4 h_15,t-4 h_16,t-4 h_17,t-4 h_18,t-4 h_19,t-4 h_20,t-4 h_21,t-4 h_22,t-4 h_23
2016-01-05,23642.0,21990.0,20629.0,19865.0,19446.0,19248.0,19296.0,18956.0,20072.0,21911.0,23473.0,23991.0,23961.0,23883.0,23378.0,22190.0,21549.0,21233.0,21298.0,21756.0,22929.0,25815.0,25843.0,24167.0,26751.0,24882.0,23736.0,23199.0,23000.0,23348.0,25748.0,29620.0,31776.0,33087.0,33719.0,33669.0,33521.0,32874.0,31594.0,30376.0,29915.0,29633.0,29158.0,29159.0,30469.0,32482.0,30508.0,28598.0,27227.0,25292.0,24265.0,23774.0,23650.0,24275.0,27243.0,31518.0,34093.0,35371.0,35678.0,35221.0,34751.0,34335.0,33029.0,32344.0,31927.0,31824.0,32226.0,35161.0,36599.0,35729.0,33154.0,29838.0,24937.0,23121.0,22101.0,21718.0,21760.0,22695.0,25689.0,30493.0,33164.0,34001.0,34176.0,33919.0,33593.0,33310.0,32099.0,31449.0,31179.0,31175.0,32515.0,34967.0,35381.0,34700.0,32055.0,28939.0,22431.0,21632.0,20357.0,19152.0,18310.0,18054.0,18234.0,18596.0,18541.0,18942.0,20484.0,21805.0,22607.0,23178.0,23265.0,22061.0,21481.0,21830.0,24291.0,25234.0,25881.0,26149.0,25610.0,24000.0
2016-01-06,25135.0,23717.0,22747.0,22440.0,22396.0,22737.0,24350.0,26788.0,28705.0,30029.0,30655.0,31057.0,31466.0,31369.0,30470.0,29970.0,29979.0,29924.0,29640.0,29409.0,29484.0,30027.0,29332.0,26854.0,23642.0,21990.0,20629.0,19865.0,19446.0,19248.0,19296.0,18956.0,20072.0,21911.0,23473.0,23991.0,23961.0,23883.0,23378.0,22190.0,21549.0,21233.0,21298.0,21756.0,22929.0,25815.0,25843.0,24167.0,26751.0,24882.0,23736.0,23199.0,23000.0,23348.0,25748.0,29620.0,31776.0,33087.0,33719.0,33669.0,33521.0,32874.0,31594.0,30376.0,29915.0,29633.0,29158.0,29159.0,30469.0,32482.0,30508.0,28598.0,27227.0,25292.0,24265.0,23774.0,23650.0,24275.0,27243.0,31518.0,34093.0,35371.0,35678.0,35221.0,34751.0,34335.0,33029.0,32344.0,31927.0,31824.0,32226.0,35161.0,36599.0,35729.0,33154.0,29838.0,24937.0,23121.0,22101.0,21718.0,21760.0,22695.0,25689.0,30493.0,33164.0,34001.0,34176.0,33919.0,33593.0,33310.0,32099.0,31449.0,31179.0,31175.0,32515.0,34967.0,35381.0,34700.0,32055.0,28939.0
2016-01-07,28425.0,26609.0,25442.0,24864.0,24609.0,24776.0,26062.0,28023.0,30354.0,32641.0,33925.0,34542.0,35364.0,35804.0,34702.0,33939.0,33753.0,33510.0,33079.0,32697.0,32172.0,31560.0,30943.0,29025.0,25135.0,23717.0,22747.0,22440.0,22396.0,22737.0,24350.0,26788.0,28705.0,30029.0,30655.0,31057.0,31466.0,31369.0,30470.0,29970.0,29979.0,29924.0,29640.0,29409.0,29484.0,30027.0,29332.0,26854.0,23642.0,21990.0,20629.0,19865.0,19446.0,19248.0,19296.0,18956.0,20072.0,21911.0,23473.0,23991.0,23961.0,23883.0,23378.0,22190.0,21549.0,21233.0,21298.0,21756.0,22929.0,25815.0,25843.0,24167.0,26751.0,24882.0,23736.0,23199.0,23000.0,23348.0,25748.0,29620.0,31776.0,33087.0,33719.0,33669.0,33521.0,32874.0,31594.0,30376.0,29915.0,29633.0,29158.0,29159.0,30469.0,32482.0,30508.0,28598.0,27227.0,25292.0,24265.0,23774.0,23650.0,24275.0,27243.0,31518.0,34093.0,35371.0,35678.0,35221.0,34751.0,34335.0,33029.0,32344.0,31927.0,31824.0,32226.0,35161.0,36599.0,35729.0,33154.0,29838.0
2016-01-08,26986.0,25125.0,23969.0,23281.0,23088.0,23573.0,25487.0,27299.0,29776.0,31487.0,33239.0,34169.0,35215.0,35892.0,35288.0,34479.0,34240.0,34101.0,33693.0,32919.0,32267.0,32709.0,32355.0,29998.0,28425.0,26609.0,25442.0,24864.0,24609.0,24776.0,26062.0,28023.0,30354.0,32641.0,33925.0,34542.0,35364.0,35804.0,34702.0,33939.0,33753.0,33510.0,33079.0,32697.0,32172.0,31560.0,30943.0,29025.0,25135.0,23717.0,22747.0,22440.0,22396.0,22737.0,24350.0,26788.0,28705.0,30029.0,30655.0,31057.0,31466.0,31369.0,30470.0,29970.0,29979.0,29924.0,29640.0,29409.0,29484.0,30027.0,29332.0,26854.0,23642.0,21990.0,20629.0,19865.0,19446.0,19248.0,19296.0,18956.0,20072.0,21911.0,23473.0,23991.0,23961.0,23883.0,23378.0,22190.0,21549.0,21233.0,21298.0,21756.0,22929.0,25815.0,25843.0,24167.0,26751.0,24882.0,23736.0,23199.0,23000.0,23348.0,25748.0,29620.0,31776.0,33087.0,33719.0,33669.0,33521.0,32874.0,31594.0,30376.0,29915.0,29633.0,29158.0,29159.0,30469.0,32482.0,30508.0,28598.0
2016-01-09,28284.0,26487.0,25264.0,24744.0,24505.0,24766.0,26459.0,28734.0,30505.0,32582.0,34111.0,35067.0,36201.0,36769.0,36004.0,35417.0,35492.0,35529.0,34992.0,34052.0,33899.0,34957.0,32547.0,30096.0,26986.0,25125.0,23969.0,23281.0,23088.0,23573.0,25487.0,27299.0,29776.0,31487.0,33239.0,34169.0,35215.0,35892.0,35288.0,34479.0,34240.0,34101.0,33693.0,32919.0,32267.0,32709.0,32355.0,29998.0,28425.0,26609.0,25442.0,24864.0,24609.0,24776.0,26062.0,28023.0,30354.0,32641.0,33925.0,34542.0,35364.0,35804.0,34702.0,33939.0,33753.0,33510.0,33079.0,32697.0,32172.0,31560.0,30943.0,29025.0,25135.0,23717.0,22747.0,22440.0,22396.0,22737.0,24350.0,26788.0,28705.0,30029.0,30655.0,31057.0,31466.0,31369.0,30470.0,29970.0,29979.0,29924.0,29640.0,29409.0,29484.0,30027.0,29332.0,26854.0,23642.0,21990.0,20629.0,19865.0,19446.0,19248.0,19296.0,18956.0,20072.0,21911.0,23473.0,23991.0,23961.0,23883.0,23378.0,22190.0,21549.0,21233.0,21298.0,21756.0,22929.0,25815.0,25843.0,24167.0
2016-01-10,25362.0,24135.0,23117.0,22487.0,22063.0,21869.0,22198.0,23304.0,23972.0,25986.0,27375.0,27734.0,28090.0,28276.0,27507.0,26346.0,25651.0,25559.0,25497.0,26352.0,28617.0,28678.0,26798.0,24930.0,28284.0,26487.0,25264.0,24744.0,24505.0,24766.0,26459.0,28734.0,30505.0,32582.0,34111.0,35067.0,36201.0,36769.0,36004.0,35417.0,35492.0,35529.0,34992.0,34052.0,33899.0,34957.0,32547.0,30096.0,26986.0,25125.0,23969.0,23281.0,23088.0,23573.0,25487.0,27299.0,29776.0,31487.0,33239.0,34169.0,35215.0,35892.0,35288.0,34479.0,34240.0,34101.0,33693.0,32919.0,32267.0,32709.0,32355.0,29998.0,28425.0,26609.0,25442.0,24864.0,24609.0,24776.0,26062.0,28023.0,30354.0,32641.0,33925.0,34542.0,35364.0,35804.0,34702.0,33939.0,33753.0,33510.0,33079.0,32697.0,32172.0,31560.0,30943.0,29025.0,25135.0,23717.0,22747.0,22440.0,22396.0,22737.0,24350.0,26788.0,28705.0,30029.0,30655.0,31057.0,31466.0,31369.0,30470.0,29970.0,29979.0,29924.0,29640.0,29409.0,29484.0,30027.0,29332.0,26854.0
2016-01-11,22557.0,21261.0,20403.0,19960.0,19710.0,19764.0,20230.0,20643.0,21168.0,22967.0,24202.0,24650.0,24634.0,25068.0,24807.0,23577.0,22945.0,23000.0,25449.0,27006.0,27672.0,27136.0,25633.0,23727.0,25362.0,24135.0,23117.0,22487.0,22063.0,21869.0,22198.0,23304.0,23972.0,25986.0,27375.0,27734.0,28090.0,28276.0,27507.0,26346.0,25651.0,25559.0,25497.0,26352.0,28617.0,28678.0,26798.0,24930.0,28284.0,26487.0,25264.0,24744.0,24505.0,24766.0,26459.0,28734.0,30505.0,32582.0,34111.0,35067.0,36201.0,36769.0,36004.0,35417.0,35492.0,35529.0,34992.0,34052.0,33899.0,34957.0,32547.0,30096.0,26986.0,25125.0,23969.0,23281.0,23088.0,23573.0,25487.0,27299.0,29776.0,31487.0,33239.0,34169.0,35215.0,35892.0,35288.0,34479.0,34240.0,34101.0,33693.0,32919.0,32267.0,32709.0,32355.0,29998.0,28425.0,26609.0,25442.0,24864.0,24609.0,24776.0,26062.0,28023.0,30354.0,32641.0,33925.0,34542.0,35364.0,35804.0,34702.0,33939.0,33753.0,33510.0,33079.0,32697.0,32172.0,31560.0,30943.0,29025.0
2016-01-12,27046.0,25058.0,23874.0,23410.0,23365.0,24116.0,26763.0,30980.0,33422.0,34280.0,34630.0,34707.0,34684.0,34732.0,33651.0,33084.0,33033.0,33961.0,35578.0,35923.0,36345.0,35454.0,32681.0,29650.0,22557.0,21261.0,20403.0,19960.0,19710.0,19764.0,20230.0,20643.0,21168.0,22967.0,24202.0,24650.0,24634.0,25068.0,24807.0,23577.0,22945.0,23000.0,25449.0,27006.0,27672.0,27136.0,25633.0,23727.0,25362.0,24135.0,23117.0,22487.0,22063.0,21869.0,22198.0,23304.0,23972.0,25986.0,27375.0,27734.0,28090.0,28276.0,27507.0,26346.0,25651.0,25559.0,25497.0,26352.0,28617.0,28678.0,26798.0,24930.0,28284.0,26487.0,25264.0,24744.0,24505.0,24766.0,26459.0,28734.0,30505.0,32582.0,34111.0,35067.0,36201.0,36769.0,36004.0,35417.0,35492.0,35529.0,34992.0,34052.0,33899.0,34957.0,32547.0,30096.0,26986.0,25125.0,23969.0,23281.0,23088.0,23573.0,25487.0,27299.0,29776.0,31487.0,33239.0,34169.0,35215.0,35892.0,35288.0,34479.0,34240.0,34101.0,33693.0,32919.0,32267.0,32709.0,32355.0,29998.0
2016-01-13,27421.0,25382.0,24219.0,23562.0,23555.0,24198.0,26792.0,31474.0,34420.0,35186.0,35613.0,35477.0,35152.0,34980.0,33798.0,33252.0,33146.0,33652.0,35573.0,36708.0,36875.0,36084.0,33413.0,30202.0,27046.0,25058.0,23874.0,23410.0,23365.0,24116.0,26763.0,30980.0,33422.0,34280.0,34630.0,34707.0,34684.0,34732.0,33651.0,33084.0,33033.0,33961.0,35578.0,35923.0,36345.0,35454.0,32681.0,29650.0,22557.0,21261.0,20403.0,19960.0,19710.0,19764.0,20230.0,20643.0,21168.0,22967.0,24202.0,24650.0,24634.0,25068.0,24807.0,23577.0,22945.0,23000.0,25449.0,27006.0,27672.0,27136.0,25633.0,23727.0,25362.0,24135.0,23117.0,22487.0,22063.0,21869.0,22198.0,23304.0,23972.0,25986.0,27375.0,27734.0,28090.0,28276.0,27507.0,26346.0,25651.0,25559.0,25497.0,26352.0,28617.0,28678.0,26798.0,24930.0,28284.0,26487.0,25264.0,24744.0,24505.0,24766.0,26459.0,28734.0,30505.0,32582.0,34111.0,35067.0,36201.0,36769.0,36004.0,35417.0,35492.0,35529.0,34992.0,34052.0,33899.0,34957.0,32547.0,30096.0
2016-01-14,27936.0,25936.0,24731.0,24167.0,24087.0,24584.0,27035.0,31511.0,34484.0,35004.0,35425.0,35679.0,35646.0,35559.0,34366.0,33763.0,33641.0,34137.0,35735.0,36701.0,36677.0,35828.0,33228.0,30088.0,27421.0,25382.0,24219.0,23562.0,23555.0,24198.0,26792.0,31474.0,34420.0,35186.0,35613.0,35477.0,35152.0,34980.0,33798.0,33252.0,33146.0,33652.0,35573.0,36708.0,36875.0,36084.0,33413.0,30202.0,27046.0,25058.0,23874.0,23410.0,23365.0,24116.0,26763.0,30980.0,33422.0,34280.0,34630.0,34707.0,34684.0,34732.0,33651.0,33084.0,33033.0,33961.0,35578.0,35923.0,36345.0,35454.0,32681.0,29650.0,22557.0,21261.0,20403.0,19960.0,19710.0,19764.0,20230.0,20643.0,21168.0,22967.0,24202.0,24650.0,24634.0,25068.0,24807.0,23577.0,22945.0,23000.0,25449.0,27006.0,27672.0,27136.0,25633.0,23727.0,25362.0,24135.0,23117.0,22487.0,22063.0,21869.0,22198.0,23304.0,23972.0,25986.0,27375.0,27734.0,28090.0,28276.0,27507.0,26346.0,25651.0,25559.0,25497.0,26352.0,28617.0,28678.0,26798.0,24930.0
