,weekday_id,holiday_bool,holiday_name
2015-01-01,3,True,Año nuevo
2015-01-02,4,False,
2015-01-03,5,False,
2015-01-04,6,False,
2015-01-05,0,False,
2015-01-06,1,True,Epifanía del Señor
2015-01-07,2,False,
2015-01-08,3,False,
2015-01-09,4,False,
2015-01-10,5,False,
2015-01-11,6,False,
2015-01-12,0,False,
2015-01-13,1,False,
2015-01-14,2,False,
2015-01-15,3,False,
2015-01-16,4,False,
2015-01-17,5,False,
2015-01-18,6,False,
2015-01-19,0,False,
2015-01-20,1,False,
2015-01-21,2,False,
2015-01-22,3,False,
2015-01-23,4,False,
2015-01-24,5,False,
2015-01-25,6,False,
2015-01-26,0,False,
2015-01-27,1,False,
2015-01-28,2,False,
2015-01-29,3,False,
2015-01-30,4,False,
2015-01-31,5,False,
2015-02-01,6,False,
2015-02-02,0,False,
2015-02-03,1,False,
2015-02-04,2,False,
2015-02-05,3,False,
2015-02-06,4,False,
2015-02-07,5,False,
2015-02-08,6,False,
2015-02-09,0,False,
2015-02-10,1,False,
2015-02-11,2,False,
2015-02-12,3,False,
2015-02-13,4,False,
2015-02-14,5,False,
2015-02-15,6,False,
2015-02-16,0,False,
2015-02-17,1,False,
2015-02-18,2,False,
2015-02-19,3,False,
2015-02-20,4,False,
2015-02-21,5,False,
2015-02-22,6,False,
2015-02-23,0,False,
2015-02-24,1,False,
2015-02-25,2,False,
2015-02-26,3,False,
2015-02-27,4,False,
2015-02-28,5,False,
2015-03-01,6,False,
2015-03-02,0,False,
2015-03-03,1,False,
2015-03-04,2,False,
2015-03-05,3,False,
2015-03-06,4,False,
2015-03-07,5,False,
2015-03-08,6,False,
2015-03-09,0,False,
2015-03-10,1,False,
2015-03-11,2,False,
2015-03-12,3,False,
2015-03-13,4,False,
2015-03-14,5,False,
2015-03-15,6,False,
2015-03-16,0,False,
2015-03-17,1,False,
2015-03-18,2,False,
2015-03-19,3,False,
2015-03-20,4,False,
2015-03-21,5,False,
2015-03-22,6,False,
2015-03-23,0,False,
2015-03-24,1,False,
2015-03-25,2,False,
2015-03-26,3,False,
2015-03-27,4,False,
2015-03-28,5,False,
2015-03-29,6,False,
2015-03-30,0,False,
2015-03-31,1,False,
2015-04-01,2,False,
2015-04-02,3,False,
2015-04-03,4,True,Viernes Santo
2015-04-04,5,False,
2015-04-05,6,False,
2015-04-06,0,False,
2015-04-07,1,False,
2015-04-08,2,False,
2015-04-09,3,False,
2015-04-10,4,False,
2015-04-11,5,False,
2015-04-12,6,False,
2015-04-13,0,False,
2015-04-14,1,False,
2015-04-15,2,False,
2015-04-16,3,False,
2015-04-17,4,False,
2015-04-18,5,False,
2015-04-19,6,False,
2015-04-20,0,False,
2015-04-21,1,False,
2015-04-22,2,False,
2015-04-23,3,False,
2015-04-24,4,False,
2015-04-25,5,False,
2015-04-26,6,False,
2015-04-27,0,False,
2015-04-28,1,False,
2015-04-29,2,False,
2015-04-30,3,False,
2015-05-01,4,True,Día del Trabajador
2015-05-02,5,False,
2015-05-03,6,False,
2015-05-04,0,False,
2015-05-05,1,False,
2015-05-06,2,False,
2015-05-07,3,False,
2015-05-08,4,False,
2015-05-09,5,False,
2015-05-10,6,False,
2015-05-11,0,False,
2015-05-12,1,False,
2015-05-13,2,False,
