"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|ES","Actual Total Load [MW] - BZN|ES"
"01.01.2015 00:00 - 01.01.2015 01:00","26118","25385"
"01.01.2015 01:00 - 01.01.2015 02:00","24934","24382"
"01.01.2015 02:00 - 01.01.2015 03:00","23515","22734"
"01.01.2015 03:00 - 01.01.2015 04:00","22642","21286"
"01.01.2015 04:00 - 01.01.2015 05:00","21785","20264"
"01.01.2015 05:00 - 01.01.2015 06:00","21441","19905"
"01.01.2015 06:00 - 01.01.2015 07:00","21285","20010"
"01.01.2015 07:00 - 01.01.2015 08:00","21545","20377"
"01.01.2015 08:00 - 01.01.2015 09:00","21443","20094"
"01.01.2015 09:00 - 01.01.2015 10:00","21560","20637"
"01.01.2015 10:00 - 01.01.2015 11:00","22824","22250"
"01.01.2015 11:00 - 01.01.2015 12:00","23720","23547"
"01.01.2015 12:00 - 01.01.2015 13:00","24180","24133"
"01.01.2015 13:00 - 01.01.2015 14:00","24797","24713"
"01.01.2015 14:00 - 01.01.2015 15:00","25222","24672"
"01.01.2015 15:00 - 01.01.2015 16:00","24173","23528"
"01.01.2015 16:00 - 01.01.2015 17:00","23659","23118"
"01.01.2015 17:00 - 01.01.2015 18:00","23982","23606"
"01.01.2015 18:00 - 01.01.2015 19:00","26981","26447"
"01.01.2015 19:00 - 01.01.2015 20:00","28515","28020"
"01.01.2015 20:00 - 01.01.2015 21:00","30482","29014"
"01.01.2015 21:00 - 01.01.2015 22:00","30739","29571"
"01.01.2015 22:00 - 01.01.2015 23:00","29756","29031"
"01.01.2015 23:00 - 02.01.2015 00:00","27589","26798"
"02.01.2015 00:00 - 02.01.2015 01:00","23959","24298"
"02.01.2015 01:00 - 02.01.2015 02:00","21692","21881"
"02.01.2015 02:00 - 02.01.2015 03:00","20247","20495"
"02.01.2015 03:00 - 02.01.2015 04:00","19529","19730"
"02.01.2015 04:00 - 02.01.2015 05:00","19198","19500"
"02.01.2015 05:00 - 02.01.2015 06:00","19821","20113"
"02.01.2015 06:00 - 02.01.2015 07:00","21620","22153"
"02.01.2015 07:00 - 02.01.2015 08:00","24379","N/A"
"02.01.2015 08:00 - 02.01.2015 09:00","27389","N/A"
"02.01.2015 09:00 - 02.01.2015 10:00","30619","N/A"
"02.01.2015 10:00 - 02.01.2015 11:00","32419","32383"
"02.01.2015 11:00 - 02.01.2015 12:00","32029","32358"
"02.01.2015 12:00 - 02.01.2015 13:00","31357","N/A"
"02.01.2015 13:00 - 02.01.2015 14:00","31338","N/A"
"02.01.2015 14:00 - 02.01.2015 15:00","30874","N/A"
"02.01.2015 15:00 - 02.01.2015 16:00","30124","N/A"
"02.01.2015 16:00 - 02.01.2015 17:00","29714","N/A"
"02.01.2015 17:00 - 02.01.2015 18:00","29801","N/A"
"02.01.2015 18:00 - 02.01.2015 19:00","32257","N/A"
"02.01.2015 19:00 - 02.01.2015 20:00","33183","N/A"
"02.01.2015 20:00 - 02.01.2015 21:00","34839","33955"
"02.01.2015 21:00 - 02.01.2015 22:00","34392","33851"
"02.01.2015 22:00 - 02.01.2015 23:00","32614","32324"
"02.01.2015 23:00 - 03.01.2015 00:00","30236","29866"
"03.01.2015 00:00 - 03.01.2015 01:00","25995","27243"
"03.01.2015 01:00 - 03.01.2015 02:00","23763","24723"
"03.01.2015 02:00 - 03.01.2015 03:00","22030","22861"
"03.01.2015 03:00 - 03.01.2015 04:00","20996","21963"
"03.01.2015 04:00 - 03.01.2015 05:00","20478","21540"
"03.01.2015 05:00 - 03.01.2015 06:00","20505","21642"
"03.01.2015 06:00 - 03.01.2015 07:00","21061","22434"
"03.01.2015 07:00 - 03.01.2015 08:00","22175","23787"
"03.01.2015 08:00 - 03.01.2015 09:00","23448","25305"
"03.01.2015 09:00 - 03.01.2015 10:00","25783","27745"
"03.01.2015 10:00 - 03.01.2015 11:00","28305","30101"
"03.01.2015 11:00 - 03.01.2015 12:00","29050","30495"
"03.01.2015 12:00 - 03.01.2015 13:00","29009","29893"
"03.01.2015 13:00 - 03.01.2015 14:00","29215","29659"
"03.01.2015 14:00 - 03.01.2015 15:00","28964","29268"
"03.01.2015 15:00 - 03.01.2015 16:00","27909","28375"
"03.01.2015 16:00 - 03.01.2015 17:00","27148","27840"
"03.01.2015 17:00 - 03.01.2015 18:00","27431","28102"
"03.01.2015 18:00 - 03.01.2015 19:00","30039","30973"
"03.01.2015 19:00 - 03.01.2015 20:00","31051","32130"
"03.01.2015 20:00 - 03.01.2015 21:00","31606","32763"
"03.01.2015 21:00 - 03.01.2015 22:00","31598","32875"
"03.01.2015 22:00 - 03.01.2015 23:00","30406","31532"
"03.01.2015 23:00 - 04.01.2015 00:00","28372","29366"
"04.01.2015 00:00 - 04.01.2015 01:00","25923","26818"
"04.01.2015 01:00 - 04.01.2015 02:00","23255","24299"
"04.01.2015 02:00 - 04.01.2015 03:00","21315","22546"
"04.01.2015 03:00 - 04.01.2015 04:00","20632","21480"
"04.01.2015 04:00 - 04.01.2015 05:00","20120","20937"
"04.01.2015 05:00 - 04.01.2015 06:00","20122","21035"
"04.01.2015 06:00 - 04.01.2015 07:00","20351","21476"
"04.01.2015 07:00 - 04.01.2015 08:00","21205","22289"
"04.01.2015 08:00 - 04.01.2015 09:00","21885","22929"
"04.01.2015 09:00 - 04.01.2015 10:00","24170","24754"
"04.01.2015 10:00 - 04.01.2015 11:00","26622","27027"
"04.01.2015 11:00 - 04.01.2015 12:00","27611","27933"
"04.01.2015 12:00 - 04.01.2015 13:00","27266","27648"
"04.01.2015 13:00 - 04.01.2015 14:00","27460","27873"
"04.01.2015 14:00 - 04.01.2015 15:00","27328","27769"
"04.01.2015 15:00 - 04.01.2015 16:00","26126","26825"
"04.01.2015 16:00 - 04.01.2015 17:00","25693","26254"
"04.01.2015 17:00 - 04.01.2015 18:00","26061","26508"
"04.01.2015 18:00 - 04.01.2015 19:00","28827","29232"
"04.01.2015 19:00 - 04.01.2015 20:00","30293","30623"
"04.01.2015 20:00 - 04.01.2015 21:00","31250","31605"
"04.01.2015 21:00 - 04.01.2015 22:00","31831","32040"
"04.01.2015 22:00 - 04.01.2015 23:00","30589","31115"
"04.01.2015 23:00 - 05.01.2015 00:00","28489","28916"
"05.01.2015 00:00 - 05.01.2015 01:00","25632","26019"
"05.01.2015 01:00 - 05.01.2015 02:00","23220","23591"
"05.01.2015 02:00 - 05.01.2015 03:00","21772","22089"
"05.01.2015 03:00 - 05.01.2015 04:00","21220","21350"
"05.01.2015 04:00 - 05.01.2015 05:00","21099","21054"
"05.01.2015 05:00 - 05.01.2015 06:00","21914","21533"
"05.01.2015 06:00 - 05.01.2015 07:00","24715","23240"
"05.01.2015 07:00 - 05.01.2015 08:00","28862","26141"
"05.01.2015 08:00 - 05.01.2015 09:00","32003","28870"
"05.01.2015 09:00 - 05.01.2015 10:00","33500","31473"
"05.01.2015 10:00 - 05.01.2015 11:00","34000","32893"
"05.01.2015 11:00 - 05.01.2015 12:00","34500","32741"
"05.01.2015 12:00 - 05.01.2015 13:00","34500","31942"
"05.01.2015 13:00 - 05.01.2015 14:00","34000","31779"
"05.01.2015 14:00 - 05.01.2015 15:00","33735","30864"
"05.01.2015 15:00 - 05.01.2015 16:00","33292","29742"
"05.01.2015 16:00 - 05.01.2015 17:00","32231","29336"
"05.01.2015 17:00 - 05.01.2015 18:00","32816","29469"
"05.01.2015 18:00 - 05.01.2015 19:00","34936","30960"
"05.01.2015 19:00 - 05.01.2015 20:00","35642","31097"
"05.01.2015 20:00 - 05.01.2015 21:00","35348","31242"
"05.01.2015 21:00 - 05.01.2015 22:00","35242","31443"
"05.01.2015 22:00 - 05.01.2015 23:00","33296","30365"
"05.01.2015 23:00 - 06.01.2015 00:00","30124","28635"
"06.01.2015 00:00 - 06.01.2015 01:00","26563","26304"
"06.01.2015 01:00 - 06.01.2015 02:00","23787","23940"
"06.01.2015 02:00 - 06.01.2015 03:00","21585","22118"
"06.01.2015 03:00 - 06.01.2015 04:00","20453","21015"
"06.01.2015 04:00 - 06.01.2015 05:00","19751","20518"
"06.01.2015 05:00 - 06.01.2015 06:00","19559","20478"
"06.01.2015 06:00 - 06.01.2015 07:00","20002","20926"
"06.01.2015 07:00 - 06.01.2015 08:00","20122","21676"
"06.01.2015 08:00 - 06.01.2015 09:00","20066","22195"
"06.01.2015 09:00 - 06.01.2015 10:00","21317","23806"
"06.01.2015 10:00 - 06.01.2015 11:00","23498","25842"
"06.01.2015 11:00 - 06.01.2015 12:00","24330","26754"
"06.01.2015 12:00 - 06.01.2015 13:00","24043","26633"
"06.01.2015 13:00 - 06.01.2015 14:00","24216","26664"
"06.01.2015 14:00 - 06.01.2015 15:00","24221","26154"
"06.01.2015 15:00 - 06.01.2015 16:00","23165","24866"
"06.01.2015 16:00 - 06.01.2015 17:00","22699","24346"
"06.01.2015 17:00 - 06.01.2015 18:00","23172","24812"
"06.01.2015 18:00 - 06.01.2015 19:00","25667","27582"
"06.01.2015 19:00 - 06.01.2015 20:00","27282","29150"
"06.01.2015 20:00 - 06.01.2015 21:00","28546","30122"
"06.01.2015 21:00 - 06.01.2015 22:00","29537","31077"
"06.01.2015 22:00 - 06.01.2015 23:00","29619","30449"
"06.01.2015 23:00 - 07.01.2015 00:00","27753","28235"
"07.01.2015 00:00 - 07.01.2015 01:00","24847","25555"
"07.01.2015 01:00 - 07.01.2015 02:00","22428","23341"
"07.01.2015 02:00 - 07.01.2015 03:00","21194","22029"
"07.01.2015 03:00 - 07.01.2015 04:00","20675","21456"
"07.01.2015 04:00 - 07.01.2015 05:00","20605","21457"
"07.01.2015 05:00 - 07.01.2015 06:00","21508","22229"
"07.01.2015 06:00 - 07.01.2015 07:00","24141","25041"
"07.01.2015 07:00 - 07.01.2015 08:00","29313","29412"
"07.01.2015 08:00 - 07.01.2015 09:00","33924","33176"
"07.01.2015 09:00 - 07.01.2015 10:00","35900","35462"
"07.01.2015 10:00 - 07.01.2015 11:00","38572","36783"
"07.01.2015 11:00 - 07.01.2015 12:00","38411","36950"
"07.01.2015 12:00 - 07.01.2015 13:00","37699","36399"
"07.01.2015 13:00 - 07.01.2015 14:00","37101","36154"
"07.01.2015 14:00 - 07.01.2015 15:00","35692","34823"
"07.01.2015 15:00 - 07.01.2015 16:00","35344","33974"
"07.01.2015 16:00 - 07.01.2015 17:00","35214","33804"
"07.01.2015 17:00 - 07.01.2015 18:00","35900","34366"
"07.01.2015 18:00 - 07.01.2015 19:00","37877","36859"
"07.01.2015 19:00 - 07.01.2015 20:00","38557","38014"
"07.01.2015 20:00 - 07.01.2015 21:00","38059","38193"
"07.01.2015 21:00 - 07.01.2015 22:00","37160","37233"
