,horizon,mse,rmse,mae,mape,coverage
0,0 days 03:00:00.000000000,3299400.7900959207,1816.4252778729767,1369.9777381474396,0.05605344324066708,0.0
1,0 days 04:00:00.000000000,3201202.582478397,1789.1904824468515,1349.6357942197774,0.05762215269871494,0.0
2,0 days 05:00:00.000000000,3157722.296727709,1776.9981138784894,1328.3668240363982,0.058077946811597427,0.0
3,0 days 06:00:00.000000000,3328627.8887489527,1824.4527641868267,1355.9804299554157,0.05959132794743821,0.0
4,0 days 07:00:00.000000000,4190215.6323065306,2047.0016200058394,1550.11065026504,0.0659054685727851,0.0
5,0 days 08:00:00.000000000,8216056.424725191,2866.3664149450938,2285.397770754024,0.08857574313122771,0.0
6,0 days 09:00:00.000000000,13985929.491915058,3739.7766633737715,3164.459814569206,0.11397482641763537,0.0
7,0 days 10:00:00.000000000,16437677.694423812,4054.340599212628,3492.352927231776,0.11888901254097144,0.0
8,0 days 11:00:00.000000000,14971337.512775574,3869.281265658465,3253.3842620518526,0.10544064524192848,0.0
9,0 days 12:00:00.000000000,12563082.485405311,3544.443889442364,2899.945691293004,0.09087111122764037,0.0
10,0 days 13:00:00.000000000,11314994.441466354,3363.7768120769183,2713.7478549555403,0.08426895229333206,0.0
11,0 days 14:00:00.000000000,10953488.881805668,3309.60554776633,2638.2951533589235,0.08191578268248811,0.0
12,0 days 15:00:00.000000000,10376725.043843528,3221.292449288566,2508.1092214231858,0.07878040135060368,0.0
13,0 days 16:00:00.000000000,10347528.981565678,3216.7575260758586,2459.5976920076455,0.07951244157987965,0.0
14,0 days 17:00:00.000000000,11104536.36506963,3332.3469754918424,2555.0591999689323,0.08495502408764621,0.0
15,0 days 18:00:00.000000000,11917938.254797483,3452.236703182081,2673.711468626391,0.09026961289902512,0.0
16,0 days 19:00:00.000000000,12100405.903348217,3478.563770200026,2677.397401839506,0.09072261462603858,0.0
17,0 days 20:00:00.000000000,12744560.28657632,3569.9524207720638,2747.2154377011548,0.09120948252340452,0.0
18,0 days 21:00:00.000000000,12814262.607001355,3579.701468977735,2790.252537190635,0.089127524353111,0.0
19,0 days 22:00:00.000000000,10673879.399025436,3267.090356728053,2560.4620964188316,0.07891085049317781,0.0
20,0 days 23:00:00.000000000,7508468.531881893,2740.1584866357443,2117.73107701277,0.0653322290414053,0.0
21,1 days 00:00:00.000000000,5202389.754961832,2280.874778448355,1713.7671462274234,0.055768561085918135,0.0
