,horizon,mse,rmse,mae,mape,coverage
0,0 days 03:00:00.000000000,3204503.3548906296,1790.1126654181937,1350.7799736904738,0.05525164722570476,0.0
1,0 days 04:00:00.000000000,3109167.5029701437,1763.2831601788023,1339.562849172607,0.05715658349156473,0.0
2,0 days 05:00:00.000000000,3057201.8084036303,1748.4855756921845,1328.8166574429663,0.058024202930667665,0.0
3,0 days 06:00:00.000000000,3190172.7185067073,1786.1054611939094,1353.530504474469,0.05938548887431698,0.0
4,0 days 07:00:00.000000000,4025165.0433255676,2006.2813968448113,1538.5598910670735,0.06526261322509622,0.0
5,0 days 08:00:00.000000000,8067288.842749989,2840.297315907261,2273.942858402082,0.08779207539344931,0.0
6,0 days 09:00:00.000000000,13829770.06208675,3718.8398812111755,3156.2062558336997,0.11324889254529147,0.0
7,0 days 10:00:00.000000000,16265702.978688544,4033.076118633089,3480.3924961224398,0.11817738357791602,0.0
8,0 days 11:00:00.000000000,14823562.730535258,3850.138014478865,3240.6885401158506,0.10489967654212748,0.0
9,0 days 12:00:00.000000000,12473484.412092382,3531.7820448170896,2898.3921571254077,0.0908025939496958,0.0
10,0 days 13:00:00.000000000,11232978.704636628,3351.563620854694,2716.071125352365,0.08438860069576014,0.0
11,0 days 14:00:00.000000000,10845796.573806435,3293.2957009364395,2639.738560095567,0.08204770710082054,0.0
12,0 days 15:00:00.000000000,10249182.30408967,3201.434413523049,2505.5970473192874,0.07882863020522438,0.0
13,0 days 16:00:00.000000000,10216142.140040793,3196.270035532166,2454.3023585857477,0.07951473333909824,0.0
14,0 days 17:00:00.000000000,10969508.125421437,3312.0247772958214,2548.4357158543817,0.0849466438986894,0.0
15,0 days 18:00:00.000000000,11783540.870103387,3432.716252489184,2668.4301543051088,0.09032573218786062,0.0
16,0 days 19:00:00.000000000,12007986.32603595,3465.2541502804597,2670.113547183925,0.09072684415783683,0.0
17,0 days 20:00:00.000000000,12695327.28892456,3563.050278753383,2735.18514051085,0.0910810788415674,0.0
18,0 days 21:00:00.000000000,12769499.652416717,3573.4436685663195,2782.5754478670515,0.08916888151890265,0.0
19,0 days 22:00:00.000000000,10602811.606229285,3256.1958795854534,2554.021548757985,0.07895180682633324,0.0
20,0 days 23:00:00.000000000,7418473.04695746,2723.687398905656,2111.1631840631226,0.06528576677187244,0.0
21,1 days 00:00:00.000000000,5123373.363680957,2263.4869921607583,1709.325121043184,0.05572507731516402,0.0
